project_name	ID_EIA	type	latitude	longitude	region	state	state_fips	state_name	year	capacity_DC_kW	capacity_AC_kW	inverter_loading_ratio	mount_type	tracking_type	tilt	azimuth	average_global_horizontal_irradiance	capacity_factor_average	tech_class_primary	tech_class_secondary	storage_flag	storage_year	storage_capacity	storage_energy	storage_tech	hybrid_flag	hybrid_tech	duplicate	sub_id	interconnect_x	point_of_interconnect	interconnect_y
NAS Oceana Solar	60584.0	UPV	36.788031	-76.046961	PJM	VA	51	Virginia	2017	21000.0	17600.0	1.193181818181818	Tracking	['Single']	-1.0	174.0	4.3180559361	0.1948767739053079	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	10229	Eastern	distribution-primary	Eastern
PSEG Sunflower Solar	60638.0	UPV	36.396431	-77.592711	PJM	NC	37	North Carolina	2017	20900.0	16200.0	1.2901234567901234	Tracking	['Single']	-1.0	180.0	4.4100700913	0.2150767116407911	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	10752	Eastern	distribution-primary	Eastern
Providence Solar Center	60337.0	UPV	35.577451	-89.049931	Southeast (non-ISO)	TN	47	Tennessee	2017	20000.0	16000.0	1.25	Tracking	['Single']	-1.0	179.0	4.3775164384	0.2161464701283363	PV	['Thin-Film']	False	-1	-1.0	-1.0		False	[]	False	16241	Eastern	distribution-primary	Eastern
American Legion PV 1 (Fresh Air Energy XIX)	59516.0	UPV	36.418261	-77.656751	PJM	NC	37	North Carolina	2017	20000.0	15840.0	1.2626262626262623	Fixed Tilt	['Fixed']	20.0	191.0	4.4158166667	0.1593162053514156	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	10752	Eastern	distribution-primary	Eastern
CED Avenal	60077.0	UPV	35.996011	-120.152041	CAISO	CA	6	California	2017	21338.0	15800.0	1.350506329113924	Tracking	['Single']	-1.0	180.0	5.3520027397	0.2179773806203647	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	36644	Western	distribution-primary	Western
Fort Phantom	60774.0	UPV	31.114961	-97.846921	ERCOT	TX	48	Texas	2017	19600.0	15400.0	1.2727272727272727	Tracking	['Single']	-1.0	180.0	4.8307518265	0.1772946115524153	PV	['c-Si']	False	-1	-1.0	-1.0		True	['Wind']	False	40169	Texas	distribution-primary	Texas
Wildberry	62775.0	UPV	35.062691	-89.369271	Southeast (non-ISO)	TN	47	Tennessee	2017	20000.0	15000.0	1.3333333333333333	Tracking	['Single']		184.0	4.4097575342	0.2128660557593299	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	16362	Eastern	distribution-primary	Eastern
Valley Electric Association Community Solar Project (Pahrump Community Solar Project, NVSS-II)	62636.0	UPV	36.274831	-115.972251	West (non-ISO)	NV	32	Nevada	2017	17531.08	14000.0	1.25222	Fixed Tilt	['Fixed']		180.0	5.7130210046		PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	36628	Western	distribution-primary	Western
Sunray 3 (previously SEGS I)	10438.0	UPV	34.86785	-116.82505	CAISO	CA	6	California	2017	17200.0	13800.0	1.2463768115942029	Tracking	['Single']	-1.0	180.0	5.8493111872	0.3036548439543732	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	37650	Western	distribution-primary	Western
Turkey Creek PV1	60000.0	UPV	36.441961	-77.135711	Southeast (non-ISO)	NC	37	North Carolina	2017	16800.0	13500.0	1.2444444444444445	Tracking	['Single']	-1.0	180.0	4.4033440639	0.1920688092089394	PV	['c-Si']	False	-1	-1.0	-1.0		False	[]	False	10928	Eastern	distribution-primary	Eastern
